latitude,longitude,acq_date,frp
37.03013,-119.11999,2025-02-02,0.73
37.03508,-119.12804,2025-02-02,1.05
37.04184,-119.12634,2025-02-02,1.07
37.046,-119.12988,2025-02-02,1.07
39.49298,-120.07529,2025-02-02,0.94
39.49369,-120.07971,2025-02-02,0.97
39.49626,-120.07441,2025-02-02,0.94
39.50754,-120.08057,2025-02-02,1.26
39.6203,-119.2621,2025-02-02,0.66
32.49823,-116.79039,2025-02-02,0.54
32.54007,-116.87177,2025-02-02,0.54
32.5974,-117.0108,2025-02-02,0.85
33.49236,-117.61723,2025-02-02,0.9
33.49335,-117.61789,2025-02-02,0.81
33.61486,-117.82069,2025-02-02,1.13
33.71537,-117.71237,2025-02-02,0.87
33.79391,-117.47685,2025-02-02,0.63
33.85353,-118.33316,2025-02-02,1.27
34.03609,-118.10755,2025-02-02,0.55
34.03662,-118.1033,2025-02-02,0.43
34.04211,-117.82269,2025-02-02,0.57
34.15491,-118.19209,2025-02-02,1.07
34.15533,-118.19372,2025-02-02,1.96
34.24438,-118.38278,2025-02-02,0.47
34.28973,-118.80045,2025-02-02,0.49
34.29325,-118.79957,2025-02-02,0.47
34.32132,-118.51331,2025-02-02,0.31
34.33381,-118.52038,2025-02-02,1.13
34.33434,-118.51752,2025-02-02,0.76
34.35416,-116.85171,2025-02-02,1.18
34.4288,-118.64413,2025-02-02,0.88
34.47873,-118.89406,2025-02-02,0.32
34.60818,-117.33382,2025-02-02,2.05
36.66266,-120.13313,2025-02-02,0.57
37.02446,-120.19522,2025-02-02,0.56
32.04648,-115.02193,2025-02-02,10.7
32.04714,-115.02351,2025-02-02,11.28
35.55621,-115.472,2025-02-02,6.04
32.04554,-115.02275,2025-02-02,7.86
32.04692,-115.02551,2025-02-02,7.7
32.04741,-115.01976,2025-02-02,7.7
32.28664,-114.80961,2025-02-02,5.7
32.28714,-114.80363,2025-02-02,5.7
33.23142,-114.66468,2025-02-02,5.09
33.23271,-114.66952,2025-02-02,7.56
35.55732,-115.4704,2025-02-02,1.45
37.05972,-119.40301,2025-02-02,2.67
33.25549,-114.66559,2025-02-03,0.79
33.25898,-114.66468,2025-02-03,0.79
33.26245,-114.6638,2025-02-03,1.23
33.71663,-117.71088,2025-02-03,0.69
34.03502,-118.10638,2025-02-03,0.5
34.14351,-117.42899,2025-02-03,0.21
34.153,-118.19396,2025-02-03,1.03
34.24292,-118.38208,2025-02-03,0.67
34.29093,-118.79964,2025-02-03,0.79
34.29155,-118.80394,2025-02-03,0.79
34.31904,-118.51065,2025-02-03,0.7
34.33421,-118.52038,2025-02-03,1.28
34.35417,-116.85403,2025-02-03,1.21
34.42823,-118.64487,2025-02-03,0.77
34.43156,-118.6441,2025-02-03,1.22
34.60771,-117.33697,2025-02-03,1.14
34.62152,-117.10097,2025-02-03,1.07
40.82166,-114.25403,2025-02-03,1.03
32.39982,-114.76731,2025-02-03,0.74
32.43356,-117.07582,2025-02-03,0.48
32.43423,-117.07992,2025-02-03,0.6
32.49505,-116.83264,2025-02-03,0.62
32.49813,-116.7889,2025-02-03,0.37
32.49839,-116.83194,2025-02-03,0.41
32.59916,-117.01107,2025-02-03,0.58
32.85696,-117.02664,2025-02-03,0.38
33.61208,-117.82216,2025-02-03,0.97
32.49747,-116.83187,2025-02-03,7.5
32.58978,-115.34739,2025-02-03,8.2
33.44327,-114.73727,2025-02-03,14.04
33.44475,-114.74004,2025-02-03,4.82
33.44536,-114.73476,2025-02-03,11.96
33.44698,-114.73789,2025-02-03,11.38
33.44845,-114.74066,2025-02-03,3.98
33.44906,-114.73539,2025-02-03,5.19
35.41206,-120.49364,2025-02-03,3.81
35.4556,-120.62271,2025-02-03,4.5
36.36053,-119.20081,2025-02-03,3.9
34.2931,-118.80157,2025-02-04,0.85
34.31927,-118.51364,2025-02-04,0.5
34.33315,-118.52273,2025-02-04,0.47
34.42831,-118.64601,2025-02-04,0.83
35.23262,-118.92899,2025-02-04,0.64
32.33463,-115.21391,2025-02-04,1.69
32.39952,-114.767,2025-02-04,1.66
32.57504,-114.59704,2025-02-04,7.22
32.60928,-114.57495,2025-02-04,4.16
33.06587,-115.3961,2025-02-04,50.02
33.06655,-115.39191,2025-02-04,50.02
33.06723,-115.38773,2025-02-04,27.76
33.24957,-115.49805,2025-02-04,2.64
33.25026,-115.49385,2025-02-04,2.64
33.2529,-115.49883,2025-02-04,3.49
33.25359,-115.49462,2025-02-04,3.49
33.25624,-115.49958,2025-02-04,3.49
33.40384,-114.74094,2025-02-04,4.13
33.40714,-114.74168,2025-02-04,4.98
33.73299,-114.45847,2025-02-04,3.1
33.80596,-115.39645,2025-02-04,1.56
33.80663,-115.39229,2025-02-04,1.56
33.80928,-115.39723,2025-02-04,1.56
33.80995,-115.39305,2025-02-04,1.56
33.81192,-115.40217,2025-02-04,5.48
33.81591,-115.39877,2025-02-04,6.07
33.81922,-115.39951,2025-02-04,4.78
35.27211,-116.68377,2025-02-04,3.17
35.86606,-119.1608,2025-02-04,3.29
35.98878,-119.26751,2025-02-04,3.32
35.98998,-119.2652,2025-02-04,2.35
36.36066,-119.20086,2025-02-04,1.45
36.86779,-119.90635,2025-02-04,2.87
36.8759,-119.98387,2025-02-04,4.03
37.09175,-119.27617,2025-02-04,4.67
37.09273,-119.271,2025-02-04,5.86
37.09636,-119.27163,2025-02-04,3.89
36.70192,-114.67719,2025-02-05,3.01
36.70218,-114.67628,2025-02-05,3.82
38.07014,-122.14094,2025-02-05,1.06
40.82294,-114.25798,2025-02-05,0.91
32.45121,-116.96277,2025-02-05,1.84
32.45188,-116.96248,2025-02-05,1.54
32.52612,-116.78185,2025-02-05,1.58
32.52807,-116.77946,2025-02-05,1.42
32.57551,-114.5976,2025-02-05,0.29
32.85742,-117.03006,2025-02-05,0.81
34.60603,-117.3355,2025-02-05,2.05
34.60669,-117.33617,2025-02-05,1.22
37.88211,-121.18536,2025-02-05,0.32
39.48049,-121.24171,2025-02-05,1.36
34.60826,-117.33441,2025-02-05,1.42
32.04593,-115.01899,2025-02-05,3.04
32.06017,-115.03157,2025-02-05,14.84
32.40091,-114.76667,2025-02-05,3.29
32.63127,-114.54963,2025-02-05,6.41
34.04198,-114.33064,2025-02-05,9.78
36.5253,-120.01943,2025-02-05,5.97
36.64196,-119.8918,2025-02-05,2.26
36.68374,-120.66246,2025-02-05,5.94
36.68464,-120.6638,2025-02-05,7.35
36.69575,-120.68254,2025-02-05,24.44
36.69739,-120.67596,2025-02-05,24.44
36.69974,-120.68311,2025-02-05,38.97
36.70135,-120.67647,2025-02-05,34.38
36.70679,-120.43913,2025-02-05,4.67
36.79285,-119.93546,2025-02-05,4.42
37.07123,-120.24802,2025-02-05,5.35
37.09233,-122.17796,2025-02-05,5.4
37.09382,-122.1804,2025-02-05,4.76
37.09486,-122.17636,2025-02-05,5.76
37.1218,-120.14301,2025-02-05,4.54
37.29032,-120.36644,2025-02-05,3.08
